neighbourhood_group,neighbourhood
Scarborough,Agincourt North
Scarborough,Agincourt South-Malvern West
Etobicoke,Alderwood
Old Toronto,Annex
North York,Banbury-Don Mills
North York,Bathurst Manor
Old Toronto,Bay Street Corridor
North York,Bayview Village
North York,Bayview Woods-Steeles
North York,Bedford Park-Nortown
North York,Beechborough-Greenbrook
Scarborough,Bendale
Scarborough,Birchcliffe-Cliffside
North York,Black Creek
Old Toronto,Blake-Jones
York,Briar Hill-Belgravia
North York,Bridle Path-Sunnybrook-York Mills
East York,Broadview North
North York,Brookhaven-Amesbury
Old Toronto,Cabbagetown-South St.James Town
York,Caledonia-Fairbank
Old Toronto,Casa Loma
Scarborough,Centennial Scarborough
Old Toronto,Church-Yonge Corridor
Scarborough,Clairlea-Birchmount
North York,Clanton Park
Scarborough,Cliffcrest
Old Toronto,Corso Italia-Davenport
East York,Danforth
East York,Danforth East York
North York,Don Valley Village
Scarborough,Dorset Park
Old Toronto,Dovercourt-Wallace Emerson-Junction
North York,Downsview-Roding-CFB
Old Toronto,Dufferin Grove
Old Toronto,East End-Danforth
Etobicoke,Edenbridge-Humber Valley
Scarborough,Eglinton East
Etobicoke,Elms-Old Rexdale
North York,Englemount-Lawrence
Etobicoke,Eringate-Centennial-West Deane
Etobicoke,Etobicoke West Mall
North York,Flemingdon Park
Old Toronto,Forest Hill North
Old Toronto,Forest Hill South
North York,Glenfield-Jane Heights
Old Toronto,Greenwood-Coxwell
Scarborough,Guildwood
North York,Henry Farm
Scarborough,Highland Creek
Old Toronto,High Park North
Old Toronto,High Park-Swansea
North York,Hillcrest Village
Etobicoke,Humber Heights-Westmount
North York,Humbermede
North York,Humber Summit
York,Humewood-Cedarvale
Scarborough,Ionview
Etobicoke,Islington-City Centre West
Old Toronto,Junction Area
York,Keelesdale-Eglinton West
Scarborough,Kennedy Park
Old Toronto,Kensington-Chinatown
Etobicoke,Kingsview Village-The Westway
Etobicoke,Kingsway South
York,Lambton Baby Point
Scarborough,L'Amoreaux
North York,Lansing-Westgate
Old Toronto,Lawrence Park North
Old Toronto,Lawrence Park South
East York,Leaside-Bennington
Old Toronto,Little Portugal
Etobicoke,Long Branch
Scarborough,Malvern
North York,Maple Leaf
Etobicoke,Markland Wood
Scarborough,Milliken
Etobicoke,Mimico (includes Humber Bay Shores)
Scarborough,Morningside
Old Toronto,Moss Park
York,Mount Dennis
Etobicoke,Mount Olive-Silverstone-Jamestown
Old Toronto,Mount Pleasant East
Old Toronto,Mount Pleasant West
North York,Newtonbrook East
North York,Newtonbrook West
Etobicoke,New Toronto
Old Toronto,Niagara
Old Toronto,North Riverdale
Old Toronto,North St.James Town
Scarborough,Oakridge
York,Oakwood Village
East York,O'Connor-Parkview
East York,Old East York
Old Toronto,Palmerston-Little Italy
North York,Parkwoods-Donalda
North York,Pelmo Park-Humberlea
Old Toronto,Playter Estates-Danforth
North York,Pleasant View
Etobicoke,Princess-Rosethorn
Old Toronto,Regent Park
Etobicoke,Rexdale-Kipling
York,Rockcliffe-Smythe
Old Toronto,Roncesvalles
Old Toronto,Rosedale-Moore Park
Scarborough,Rouge
Old Toronto,Runnymede-Bloor West Village
North York,Rustic
Scarborough,Scarborough Village
Old Toronto,South Parkdale
Old Toronto,South Riverdale
North York,St.Andrew-Windfields
Scarborough,Steeles
Etobicoke,Stonegate-Queensway
Scarborough,Tam O'Shanter-Sullivan
East York,Taylor-Massey
Old Toronto,The Beaches
Etobicoke,Thistletown-Beaumond Heights
East York,Thorncliffe Park
Old Toronto,Trinity-Bellwoods
Old Toronto,University
North York,Victoria Village
Old Toronto,Waterfront Communities-The Island
Scarborough,West Hill
Etobicoke,West Humber-Clairville
North York,Westminster-Branson
York,Weston
Old Toronto,Weston-Pellam Park
Scarborough,Wexford/Maryvale
North York,Willowdale East
North York,Willowdale West
Etobicoke,Willowridge-Martingrove-Richview
Scarborough,Woburn
Old Toronto,Woodbine Corridor
East York,Woodbine-Lumsden
Old Toronto,Wychwood
Old Toronto,Yonge-Eglinton
Old Toronto,Yonge-St.Clair
North York,Yorkdale-Glen Park
North York,York University Heights
